date, pm25, pm10, o3, no2, co
2023/11/11, 22, 14, , 11, 3
2023/11/12, 50, 16, , 6, 3
2023/11/13, 41, 22, , 5, 2
2023/11/14, 43, 12, , 3, 2
2023/11/15, 25, 10, , 10, 3
2023/11/16, 26, 14, , 18, 4
2023/11/17, 47, 15, , 9, 3
2023/11/18, 42, 23, , 3, 2
2023/11/19, 38, 15, , 7, 3
2023/11/20, 21, 11, , 12, 3
2023/11/21, 36, 17, , 12, 3
2023/11/22, 54, 14, , 4, 2
2023/11/23, 24, 13, , 5, 2
2023/11/24, 27, 14, , 6, 2
2023/11/25, 30, 11, , 9, 3
2023/11/26, 30, 11, , 8, 2
2023/11/27, 35, 8, , 8, 2
2023/11/28, 25, 9, , 11, 3
2023/11/29, 23, 13, , 14, 3
2023/11/30, 45, 16, , 8, 3
2023/12/1, 51, 23, , 19, 4
2023/12/2, 77, 20, , 9, 3
2023/12/3, 63, 14, , 9, 3
2023/12/4, 55, 19, , 9, 3
2023/12/5, 61, 16, , 15, 4
2023/12/6, 50, 19, , 16, 4
2023/12/7, 55, 23, , 12, 3
2023/12/8, 55, 16, , 4, 3
2023/12/9, 34, 20, , 2, 2
2023/12/10, 36, 17, , 3, 2
2023/12/11, 30, 13, , 12, 2
2023/12/12, 28, 13, , 10, 3
2023/12/13, 44, 12, , 12, 3
2023/12/14, 34, 19, , 12, 3
2023/12/15, 43, 15, , 7, 2
2023/12/16, 38, 16, , 6, 2
2023/12/17, 43, 25, , 9, 2
2023/12/18, 55, 10, , 10, 3
2023/12/19, 33, 15, , 5, 2
2023/12/20, 23, 13, , 3, 3
2023/12/21, 25, 14, , 3, 2
2023/12/22, 25, 11, , 2, 2
2023/12/23, 22, 11, , 2, 2
2023/12/24, 21, 10, , 2, 2
2023/12/25, 17, 12, , 5, 2
2023/12/26, 22, 14, , 12, 3
2023/12/27, 41, 14, , 5, 2
2023/12/28, 32, 14, , 4, 2
2023/12/29, 28, 13, , 5, 2
2023/12/30, 27, 7, , 1, 2
2023/12/31, 24, 21, , 3, 2
2023/7/1, 13, 17, 32, 4, 2
2023/7/2, 37, 17, 30, 3, 2
2023/7/3, 26, 11, 29, 2, 2
2023/7/4, 18, 9, 28, 2, 2
2023/7/5, 19, 10, 31, 4, 2
2023/7/6, 21, 12, 56, 5, 2
2023/7/7, 40, 17, 70, 6, 3
2023/7/8, 51, 16, 50, 8, 3
2023/7/9, 43, 10, 20, 3, 2
2023/7/10, 27, 11, 30, 4, 2
2023/7/11, 25, 13, 28, 2, 2
2023/7/12, 18, 12, 34, 3, 2
2023/7/13, 17, 13, 35, 4, 2
2023/7/14, 27, 9, 27, 2, 2
2023/7/15, 16, 16, 29, 2, 2
2023/7/16, 31, 12, 29, 2, 2
2023/7/17, 21, 12, 29, 6, 2
2023/7/18, 28, 9, 33, 5, 2
2023/7/19, 19, 5, 27, 5, 2
2023/7/20, 17, 8, 30, 6, 2
2023/7/21, 18, 10, 27, 6, 2
2023/7/22, 22, 8, 26, 3, 3
2023/7/23, 23, 10, 26, 4, 3
2023/7/24, 17, 9, 27, 2, 2
2023/7/25, 19, 8, 28, 4, 2
2023/7/26, 13, 4, 19, 3, 2
2023/7/27, 13, 10, 17, 4, 2
2023/7/28, 16, 8, 29, 4, 2
2023/7/29, 17, 18, 27, 4, 2
2023/7/30, 26, 7, 28, 2, 3
2023/7/31, 11, 10, 23, 1, 3
2023/8/1, 18, 9, 28, 3, 3
2023/8/2, 19, 8, 28, 3, 3
2023/8/3, 10, 8, 25, 4, 3
2023/8/4, 14, 9, 25, 4, 3
2023/8/5, 22, 5, 28, 3, 3
2023/8/6, 14, 10, 28, 3, 2
2023/8/7, 18, 7, 27, 2, 2
2023/8/8, 18, 8, 29, 4, 2
2023/8/9, 18, 11, 35, 7, 3
2023/8/10, 27, 15, 31, 5, 3
2023/8/11, 42, 11, 29, 3, 3
2023/8/12, 27, 9, 26, 2, 3
2023/8/13, 22, 12, 38, 2, 3
2023/8/14, 20, 10, 31, 4, 2
2023/8/15, 19, 9, 33, 1, 3
2023/8/16, 32, 11, 27, 3, 2
2023/8/17, 27, 12, 33, 2, 3
2023/8/18, 41, 15, 30, 4, 3
2023/8/19, 37, 11, 25, 3, 3
2023/8/20, 25, 12, 31, 6, 3
2023/8/21, 26, 11, 27, 5, 3
2023/8/22, 24, 11, 30, 7, 3
2023/8/23, 27, 15, 28, 7, 3
2023/8/24, 37, 16, 32, 6, 3
2023/8/25, 42, 8, 27, 4, 3
2023/8/26, 15, 8, 31, 3, 3
2023/8/27, 20, 7, 29, 4, 3
2023/8/28, 19, 9, 27, 7, 3
2023/8/29, 16, 9, 26, 4, 3
2023/8/30, 28, 8, 30, 3, 3
2023/8/31, 13, 10, 16, 6, 3
2023/9/1, 27, 15, 33, 5, 3
2023/9/2, 46, 8, 34, 8, 3
2023/9/3, 31, 13, 39, 6, 3
2023/9/4, 42, 13, 44, 6, 3
2023/9/5, 33, 17, 63, 8, 3
2023/9/6, 41, 17, 58, 7, 3
2023/9/7, 48, 24, 71, 8, 3
2023/9/8, 56, 42, 73, 18, 4
2023/9/9, 105, 30, 62, 10, 4
2023/9/10, 68, 26, 39, 4, 3
2023/9/11, 58, 20, 26, 6, 3
2023/9/12, 49, 7, 28, 2, 2
2023/9/13, 16, 12, 34, 4, 3
2023/9/14, 33, 17, 40, 6, 3
2023/9/15, 48, 14, 40, 9, 3
2023/9/16, 39, 17, 33, 5, 3
2023/9/17, 56, 12, 28, 4, 3
2023/9/18, 30, 11, 24, 2, 2
2023/9/19, 23, 10, 27, 2, 2
2023/9/20, 19, 6, 23, 4, 3
2023/9/21, 18, 8, 23, 4, 3
2023/9/22, 15, 7, 21, 5, 3
2023/9/23, 17, 11, 32, 4, 2
2023/9/24, 30, 11, 20, 6, 2
2023/9/25, 27, 14, 27, 8, 3
2023/9/26, 45, 17, 31, 9, 3
2023/9/27, 49, 19, 24, 5, 2
2023/9/28, 37, 13, 25, 6, 3
2023/9/29, 30, 15, 24, 9, 3
2023/9/30, 36, 16, 32, 6, 3
2023/4/1, 25, 6, 30, 2, 1
2023/4/2, 28, 8, 35, 3, 1
2023/4/3, 18, 12, 38, 5, 2
2023/4/4, 33, 19, 36, 10, 2
2023/4/5, 56, 19, 24, 11, 3
2023/4/6, 60, 11, 25, 9, 2
2023/4/7, 29, 15, 28, 8, 2
2023/4/8, 52, 23, 32, 3, 2
2023/4/9, 68, 10, 28, 4, 2
2023/4/10, 37, 11, 36, 3, 1
2023/4/11, 21, 9, 38, 3, 1
2023/4/12, 23, 10, 35, 3, 1
2023/4/13, 21, 11, 37, 6, 2
2023/4/14, 26, 11, 35, 5, 2
2023/4/15, 34, 16, 25, 5, 2
2023/4/16, 44, 21, 30, 4, 2
2023/4/17, 64, 18, 30, 6, 2
2023/4/18, 56, 14, 40, 4, 1
2023/4/19, 36, 12, 32, 7, 2
2023/4/20, 38, 17, 25, 5, 2
2023/4/21, 59, 17, 27, 11, 2
2023/4/22, 37, 20, 28, 8, 2
2023/4/23, 8, 10, 33, 4, 2
2023/4/24, 15, 11, 33, 5, 2
2023/4/25, 18, 9, 36, 5, 1
2023/4/26, 24, 11, 39, 5, 1
2023/4/27, 35, 12, 31, 7, 2
2023/4/28, 41, 15, 39, 5, 2
2023/4/29, 47, 10, 35, 5, 2
2023/4/30, 25, 13, 30, 10, 2
2023/5/1, 37, 12, 38, 3, 2
2023/5/2, 28, 11, 34, 2, 2
2023/5/3, 28, 16, 42, 5, 2
2023/5/4, 43, 11, 38, 6, 2
2023/5/5, 28, 14, 32, 5, 2
2023/5/6, 48, 10, 27, 4, 3
2023/5/7, 43, 21, 20, 8, 3
2023/5/8, 67, 11, 24, 6, 2
2023/5/9, 36, 10, 25, 7, 2
2023/5/10, 34, 8, 26, 7, 2
2023/5/11, 27, 10, 34, 3, 2
2023/5/12, 42, 20, 44, 3, 2
2023/5/13, 50, 18, 34, 4, 2
2023/5/14, 43, 21, 29, 11, 2
2023/5/15, 50, 15, 28, 4, 2
2023/5/16, 24, 18, 32, 3, 2
2023/5/17, 30, 18, 32, 6, 2
2023/5/18, 24, 16, 40, 5, 2
2023/5/19, 30, 13, 36, 3, 2
2023/5/20, 32, 12, 35, 4, 2
2023/5/21, 35, 20, 42, 8, 3
2023/5/22, 58, 17, 35, 3, 2
2023/5/23, 30, 17, 32, 7, 2
2023/5/24, 28, 17, 34, 6, 2
2023/5/25, 29, 20, 34, 1, 2
2023/5/26, 38, 18, 35, 3, 2
2023/5/27, 36, 18, 37, 2, 2
2023/5/28, 31, 17, 34, 1, 
2023/5/29, 22, 10, 34, 2, 2
2023/5/30, 21, 14, 34, 2, 2
2023/5/31, 24, 13, 32, 2, 2
2023/6/1, 19, 19, 34, 3, 2
2023/6/2, 23, 11, 37, 5, 2
2023/6/3, 27, 9, 36, 3, 2
2023/6/4, 26, 10, 33, 3, 2
2023/6/5, 20, 15, 37, 2, 2
2023/6/6, 16, 17, 36, 2, 2
2023/6/9, 51, 17, 55, 4, 2
2023/6/10, 31, 19, 61, 4, 3
2023/6/11, 41, 20, 59, 4, 2
2023/6/12, 36, 21, 51, 5, 2
2023/6/13, 32, 18, 45, 4, 2
2023/6/14, 19, 17, 46, 5, 2
2023/6/15, 29, 14, 47, 5, 2
2023/6/16, 52, 19, 52, 10, 2
2023/6/17, 38, 20, 63, 3, 2
2023/6/18, 49, 14, 41, 3, 3
2023/6/19, 26, 14, 51, 4, 3
2023/6/20, 23, 10, 37, 5, 3
2023/6/21, 19, 16, 40, 9, 3
2023/6/22, 45, 14, 36, 5, 2
2023/6/23, 33, 13, 41, 8, 3
2023/6/24, 24, 15, 79, 3, 3
2023/6/25, 32, 12, 36, 3, 2
2023/6/26, 26, 12, 30, 4, 2
2023/6/27, 5, 12, 23, 5, 3
2023/6/28, 3, 16, 21, 6, 3
2023/6/29, 40, 11, 34, 4, 2
2023/6/30, 21, 14, 22, 5, 2
2023/1/2, 40, 17, 21, 8, 1
2023/1/4, 22, 22, 21, 6, 1
2023/1/5, 40, 11, 25, 6, 1
2023/1/6, 25, 6, 21, 3, 
2023/1/7, 15, 9, 25, 3, 
2023/1/8, 19, 10, 25, 5, 
2023/1/9, 19, 16, 24, 7, 
2023/1/10, 27, 15, 25, 5, 
2023/1/11, 20, 12, 30, 4, 
2023/1/12, 21, 21, 27, 2, 
2023/1/13, 32, 13, 29, 2, 1
2023/1/14, 13, 14, 30, 1, 
2023/1/15, 25, 6, 28, 5, 1
2023/1/16, 24, 11, 22, 11, 1
2023/1/17, 25, 12, 29, 13, 1
2023/1/18, 26, 11, 25, 7, 
2023/1/19, 18, 18, 13, 13, 1
2023/1/20, 58, 25, 13, 10, 1
2023/1/21, 67, 14, 20, 6, 1
2023/1/22, 36, 16, 17, 7, 1
2023/1/23, 42, 21, 17, 5, 1
2023/1/24, 50, 39, 14, 13, 1
2023/1/25, 98, 28, 23, 14, 1
2023/1/26, 43, 15, 22, 4, 
2023/1/27, 18, 15, 25, 5, 
2023/1/28, 30, 26, 16, 12, 
2023/1/29, 61, 24, 25, 5, 
2023/1/30, 28, 25, 26, 5, 
2023/1/31, 30, 27, 26, 3, 
2023/2/1, 32, 21, 23, 3, 
2023/2/2, 18, 21, 23, 7, 1
2023/2/3, 25, 25, 20, 11, 2
2023/2/4, 41, 26, 29, 6, 1
2023/2/6, 31, 25, 13, 15, 2
2023/2/7, 47, 30, 10, 19, 3
2023/2/8, 63, 33, 6, 20, 3
2023/2/9, 63, 26, 19, 17, 2
2023/2/10, 44, 25, 17, 8, 2
2023/2/11, 33, 21, 21, 9, 2
2023/2/12, 39, 29, 17, 10, 2
2023/2/13, 64, 42, 13, 18, 4
2023/2/14, 93, 52, 5, 23, 5
2023/2/15, 116, 39, 18, 16, 3
2023/2/16, 94, 18, 21, 6, 2
2023/2/17, 24, 20, 26, 5, 2
2023/2/18, 31, 14, 27, 5, 2
2023/2/19, 17, 20, 23, 5, 2
2023/2/20, 31, 24, 15, 9, 2
2023/2/21, 48, 32, 10, 12, 2
2023/2/22, 79, 30, 19, 12, 2
2023/2/23, 59, 20, 27, 8, 1
2023/2/24, 19, 20, 30, 4, 2
2023/2/25, 28, 14, 29, 3, 1
2023/2/26, 20, 16, 28, 8, 1
2023/2/27, 26, 16, 23, 6, 2
2023/2/28, 27, 28, 23, 13, 2
2023/3/1, 62, 24, 19, 6, 2
2023/3/2, 63, 19, 27, 8, 2
2023/3/3, 26, 18, 29, 6, 2
2023/3/4, 15, 12, 29, 6, 2
2023/3/5, 19, 13, 26, 7, 1
2023/3/6, 18, 12, 27, 6, 2
2023/3/7, 17, 16, 23, 9, 2
2023/3/8, 35, 15, 27, 6, 2
2023/3/9, 37, 11, 29, 7, 2
2023/3/10, 18, 16, 30, 9, 2
2023/3/11, 22, 23, 28, 8, 2
2023/3/12, 41, 21, 32, 3, 2
2023/3/13, 29, 18, 30, 4, 2
2023/3/14, 25, 14, 27, 6, 2
2023/3/15, 23, 15, 29, 4, 2
2023/3/16, 24, 21, 20, 11, 2
2023/3/17, 38, 21, 26, 8, 2
2023/3/18, 53, 20, 24, 6, 2
2023/3/19, 49, 18, 24, 10, 2
